Byte Benchmark Projekt Előrehaladása - Hegedüs Janka;;;;;;;;;;;;;;;;;;;;;;;;;
Válassza ki a kiemelendő időszakot a jobb oldalon.  A diagram jelmagyarázata következik.;;;;; Kiemelt időszak:;1;;;Terv időtartama;;;;;;Tényleges kezdés;;;;;;% kész;;;;Tényleges (a terven felül)
TEVÉKENYSÉG;TERV KEZDETE;TERV IDŐTARTAMA;TÉNYLEGES KEZDÉS;TÉNYLEGES IDŐTARTAM;KÉSZÜLTSÉGI SZINT;IDŐSZAKOK;;;;;;;;;;;;;;;;;;;
;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Adatbázis tervezése;1;2;1;2;100%;;;;;;;;;;;;;;;;;;;;
Design megalkotása;2;3;2;3;100%;;;;;;;;;;;;;;;;;;;;
Adatok gyűjtése;3;3;3;8;100%;;;;;;;;;;;;;;;;;;;;
Frontend: Kezdőlap;2;6;2;7;100%;;;;;;;;;;;;;;;;;;;;
Frontend: Alkalmazások oldal;3;6;3;8;100%;;;;;;;;;;;;;;;;;;;;
Frontend: Alkatrészek oldal;5;3;5;7;100%;;;;;;;;;;;;;;;;;;;;
Frontend: Saját Setup oldal;7;5;8;6;100%;;;;;;;;;;;;;;;;;;;;
Frontend: Felhasználókezelés;9;4;9;4;100%;;;;;;;;;;;;;;;;;;;;
Frontend: Beállítások;10;5;10;4;100%;;;;;;;;;;;;;;;;;;;;
Frontend: Admin Menü;12;4;12;2;100%;;;;;;;;;;;;;;;;;;;;
Képek gyűjtése;13;2;13;2;100%;;;;;;;;;;;;;;;;;;;;
Tesztelés;10;6;10;7;100%;;;;;;;;;;;;;;;;;;;;
Dokumnetáció;15;2;15;2;100%;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;0;;;;;
